what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901884059
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1432901886431
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432901886555
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432901886774
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901886867
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1432901887195
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901896586
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1432901898926
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432901899675
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1432901900751
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432901901859
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432901909316
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901915041
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901915213
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901915291
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901923028
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432901923122
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432901923215
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432901924651
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901928239
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901937833
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1432901940032
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901944275
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432901945867
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901947957
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1432901948051
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432901948082
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432901948160
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901948456
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901959033
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901961919
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432901973525
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1432901974820
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432901975210
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1432901975351
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432901977488
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432901983197
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902012775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902012947
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902013072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902014928
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902016987
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902027907
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902028048
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902028188
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1432902028282
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902035426
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902044802
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432902049638
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432902053741
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902057329
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902057812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902070854
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902071041
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902074286
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902077515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432902079044
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902082523
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902088903
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902089044
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902089137
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902091992
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902092086
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902092195
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902093880
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902097234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902106999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902107171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902107249
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902108778
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902108856
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902108918
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902110509
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902113754
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902118980
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902119152
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902119199
error,log,,,"Could not retrieve interfaces",1432902119245
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902121632
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902122412
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902123348
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902124191
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902127404
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902128793
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902128949
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902128995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902129931
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902129963
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902131101
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902131959
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902134065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902135204
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902135345
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902135391
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902136171
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432902137107
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902140040
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902164470
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902164610
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902166139
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902168479
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902174189
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902178073
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902179149
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1432902182987
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432902185951
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432902186388
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1432902186762
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902191380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902196465
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432902198291
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902200771
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902203501
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902230146
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1432902231628
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1432902232221
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.format",1432902236854
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.format",1432902239038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432902242439
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902245684
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432902254544
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1432902256978
